Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['Optional holiday'],India,IN
2023-01-14,Makar Sankranti,"['Hinduism', 'Optional holiday']",India,IN
2023-01-14,Lohri,['Observance'],India,IN
2023-01-15,Pongal,"['Hinduism', 'Optional holiday']",India,IN
2023-01-22,Lunar New Year,['Observance'],India,IN
2023-01-26,Republic Day,['National holiday'],India,IN
2023-01-26,Vasant Panchami,"['Hinduism', 'Optional holiday']",India,IN
2023-02-05,Guru Ravidas Jayanti,['Optional holiday'],India,IN
2023-02-05,Hazarat Ali's Birthday,['Optional holiday'],India,IN
2023-02-14,Valentine's Day,['Observance'],India,IN
2023-02-15,Maharishi Dayanand Saraswati Jayanti,['Optional holiday'],India,IN
2023-02-18,Maha Shivaratri/Shivaratri,"['Hinduism', 'Optional holiday']",India,IN
2023-02-19,Shivaji Jayanti,['Optional holiday'],India,IN
2023-03-07,Dolyatra,['National holiday'],India,IN
2023-03-07,Holika Dahana,['Optional holiday'],India,IN
2023-03-08,Holi,"['National holiday', 'Hinduism']",India,IN
2023-03-21T02:54:20+05:30,March Equinox,['Season'],India,IN
2023-03-22,Chaitra Sukhladi,"['Hinduism', 'Optional holiday']",India,IN
2023-03-22,Ugadi,"['Hinduism', 'Optional holiday']",India,IN
2023-03-22,Gudi Padwa,"['Hinduism', 'Optional holiday']",India,IN
2023-03-24,Ramadan Start,['Observance'],India,IN
2023-03-30,Rama Navami,"['National holiday', 'Hinduism']",India,IN
2023-04-04,Mahavir Jayanti,['National holiday'],India,IN
2023-04-06,First day of Passover,['Observance'],India,IN
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",India,IN
2023-04-07,Good Friday,['National holiday'],India,IN
2023-04-09,Easter Day,['Optional holiday'],India,IN
2023-04-14,Vaisakhi,['Optional holiday'],India,IN
2023-04-14,Ambedkar Jayanti,['Observance'],India,IN
2023-04-14,Ambedkar Jayanti,['National holiday'],India,IN
2023-04-15,Mesadi / Vaisakhadi,['Optional holiday'],India,IN
2023-04-21,Jamat Ul-Vida,['Optional holiday'],India,IN
2023-04-22,Ramzan Id/Eid-ul-Fitar,['National holiday'],India,IN
2023-04-22,Ramzan Id/Eid-ul-Fitar,"['Muslim', 'Common local holiday']",India,IN
2023-05-01,International Worker's Day,['Observance'],India,IN
2023-05-05,Buddha Purnima/Vesak,['National holiday'],India,IN
2023-05-09,Birthday of Rabindranath,['Optional holiday'],India,IN
2023-05-14,Mother's Day,['Observance'],India,IN
2023-06-18,Father's Day,['Observance'],India,IN
2023-06-20,Rath Yatra,"['Hinduism', 'Optional holiday']",India,IN
2023-06-21T20:27:49+05:30,June Solstice,['Season'],India,IN
2023-06-29,Bakrid/Eid ul-Adha,['National holiday'],India,IN
2023-07-03,Guru Purnima,['Observance'],India,IN
2023-07-29,Muharram/Ashura,['National holiday'],India,IN
2023-08-06,Friendship Day,['Observance'],India,IN
2023-08-15,Independence Day,['National holiday'],India,IN
2023-08-16,Parsi New Year,['Optional holiday'],India,IN
2023-08-20,Vinayaka Chathurthi,"['Hinduism', 'Optional holiday']",India,IN
2023-08-29,Onam,"['Hinduism', 'Optional holiday']",India,IN
2023-08-30,Raksha Bandhan (Rakhi),"['Hinduism', 'Optional holiday']",India,IN
2023-09-06,Janmashtami (Smarta),"['Hinduism', 'Optional holiday']",India,IN
2023-09-07,Janmashtami,"['National holiday', 'Hinduism']",India,IN
2023-09-19,Ganesh Chaturthi/Vinayaka Chaturthi,"['Hinduism', 'Optional holiday']",India,IN
2023-09-23T12:20:01+05:30,September Equinox,['Season'],India,IN
2023-09-28,Milad un-Nabi/Id-e-Milad,['National holiday'],India,IN
2023-10-02,Mahatma Gandhi Jayanti,['National holiday'],India,IN
2023-10-15,First Day of Sharad Navratri,"['Observance', 'Hinduism']",India,IN
2023-10-20,First Day of Durga Puja Festivities,"['Observance', 'Hinduism']",India,IN
2023-10-21,Maha Saptami,['Optional holiday'],India,IN
2023-10-22,Maha Ashtami,['Optional holiday'],India,IN
2023-10-23,Maha Navami,['Optional holiday'],India,IN
2023-10-24,Dussehra,"['National holiday', 'Hinduism']",India,IN
2023-10-28,Maharishi Valmiki Jayanti,['Optional holiday'],India,IN
2023-10-31,Halloween,['Observance'],India,IN
2023-11-01,Karaka Chaturthi (Karva Chauth),"['Hinduism', 'Optional holiday']",India,IN
2023-11-12,Naraka Chaturdasi,['Optional holiday'],India,IN
2023-11-12,Diwali/Deepavali,"['National holiday', 'Hinduism']",India,IN
2023-11-13,Govardhan Puja,['Optional holiday'],India,IN
2023-11-15,Bhai Duj,"['Hinduism', 'Optional holiday']",India,IN
2023-11-19,Chhat Puja (Pratihar Sashthi/Surya Sashthi),"['Hinduism', 'Optional holiday']",India,IN
2023-11-24,Guru Tegh Bahadur's Martyrdom Day,['Optional holiday'],India,IN
2023-11-27,Guru Nanak Jayanti,['National holiday'],India,IN
2023-12-08,First Day of Hanukkah,['Observance'],India,IN
2023-12-15,Last day of Hanukkah,['Observance'],India,IN
2023-12-22T08:57:21+05:30,December Solstice,['Season'],India,IN
2023-12-24,Christmas Eve,['Optional holiday'],India,IN
2023-12-25,Christmas,['National holiday'],India,IN
2023-12-31,New Year's Eve,['Observance'],India,IN
